id,status,epic,title,created
1,open,LND,Add GET / landing route + controller + view,
2,open,LND,Update navbar links + logged-in/out states,
3,open,LND,Add empty states for projects/sessions screens,
4,open,ATH,Research Express auth approach (sessions vs JWT) + choose path,
5,open,ATH,Add User model + Prisma migration,
6,open,ATH,Relate projects/sessions to user (userId fields) + migrate,
7,open,ATH,Implement register page + POST handler w/ password hashing,
8,open,ATH,Implement login page + POST handler + session creation,
9,open,ATH,Add logout route + session destruction,
10,open,ATH,Add requireAuth middleware + protect routes,
11,open,ATH,Add ownership checks for edit/delete + scoped queries,
12,open,ATH,Add flash messages + redirect-to-original-page logic,
13,open,UX,Standardize form styling + validation messaging,
14,open,UX,Improve tables/cards responsiveness for list views,
15,open,UX,Delete confirmation pattern (modal or confirm view),
16,open,SCR,Add server-side validation rules on create/update endpoints,
17,open,SCR,Add CSRF protection if using cookie sessions,
18,open,SCR,Add rate limiting for auth endpoints,
19,open,SCR,Add Helmet + basic security headers,
20,open,SCR,Session cookie hardening + secret/env audit,
21,open,SCR,Production error handling (no stack traces to users),
22,open,DPL,Pick host + production DB option,
23,open,DPL,Configure env vars + build/start scripts for production,
24,open,DPL,Deploy + smoke test core flows,
25,done,PGR,Create local Postgres database + user for Writing Olympics,2025-12-20
26,done,PGR,Update schema.prisma datasource provider to postgresql + update DATABASE_URL,2025-12-20
27,done,PGR,Recreate schema in Postgres via Prisma migrations,2025-12-20
28,done,PGR,Verify CRUD flows (projects/sessions) against Postgres,2025-12-20
29,done,PGR,Add seed workflow (so test data is one command),2025-12-21
30,open,LND,Design Landing Page,2025-12-20,
31,done,PGR,Update lib/prisma.js adapter to use Postgres instead of Mariadb,2025-12-20
